ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_EquivalentDiameter,ImagePath,Day,Well,Tile,z,Condition
1,1,69393.21832,297.2443266,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,2,60636.52588,277.8575581,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,3,61237.35872,279.2307768,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,4,62522.30815,282.1451314,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,5,55104.1047,264.878699,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,6,50928.01904,254.644002,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,7,49982.15348,252.268219,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,8,69577.63236,297.6390313,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,9,62444.97323,281.9705823,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,10,57953.59905,271.6409654,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,11,54818.56038,264.1915193,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,12,43515.76443,235.3847745,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,13,46650.80309,243.7163255,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,14,80749.55384,320.6454821,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,15,48245.09221,247.8458376,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,16,60713.8608,278.0346893,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,17,46603.21237,243.5919804,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,18,50630.57704,253.8992967,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,19,42605.59191,232.910121,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,20,48459.25045,248.3953179,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,21,45252.8257,240.0368455,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,22,48155.85961,247.6165276,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,23,61677.57287,280.2326262,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,24,75038.66746,309.0990113,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,25,64991.07674,287.6616223,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,26,58256.98989,272.3510662,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,27,56466.38905,268.1328766,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,28,54265.31826,262.8549964,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,29,46049.97026,242.1417832,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,30,78114.21773,315.3698004,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,31,51284.94943,255.5347837,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,32,65205.23498,288.135183,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,33,56918.50089,269.2041719,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,34,49833.43248,251.8926297,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,35,49791.7906,251.7873643,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,36,48822.12968,249.3236174,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,37,49708.50684,251.5767013,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,38,49904.81856,252.0729824,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,39,64574.65794,286.738571,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,40,56210.58894,267.5248487,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,41,48738.84593,249.1108709,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,42,46644.85425,243.7007858,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,43,42456.87091,232.5032623,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,44,38066.62701,220.1543432,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,45,60160.61868,276.7650244,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,46,57691.85009,271.0268344,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,47,50065.43724,252.478305,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,48,46323.61689,242.8601674,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,49,44312.90898,237.5309413,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,50,56906.60321,269.1760345,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,51,38720.99941,222.0385274,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,52,57679.95241,270.9988862,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,53,74223.67638,307.4158746,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,54,49417.01368,250.8379876,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
1,55,53515.76443,261.0333073,/app/data/Plaque 2 test/D21_A1.jpg,D21,A1,,,
2,1,56412.84949,268.0057291,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,2,47257.58477,245.2962,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,3,48720.99941,249.0652587,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,4,43658.53659,235.7705988,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,5,46781.67757,244.0579477,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,6,41516.95419,229.9152623,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,7,71171.92148,301.0297409,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,8,49619.27424,251.350795,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,9,39464.6044,224.1604223,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,10,64562.76026,286.7121544,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,11,38679.35753,221.9191014,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,12,45895.30042,241.7347956,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,13,61832.24271,280.5837782,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,14,42082.09399,231.4748068,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,15,48935.15764,249.6120547,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,16,54348.60202,263.0566275,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,17,51653.77751,256.4520075,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,18,48066.62701,247.3870051,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,19,59119.57168,274.3599397,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,20,52099.94051,257.5571869,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,21,57441.99881,270.4393174,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,22,41737.06127,230.5239183,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,23,43331.35039,234.8854803,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,24,34985.1279,211.0555574,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,25,44729.32778,238.6443985,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,26,51891.73111,257.0420279,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,27,41445.56811,229.7175141,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,28,49280.19036,250.4904931,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,29,51231.40988,255.4013645,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,30,45032.71862,239.4523714,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,31,41552.64723,230.0140727,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,32,43801.30874,236.1557927,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,33,39494.3486,224.2448805,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,34,43265.91315,234.708056,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,35,65020.82094,287.7274413,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,36,41891.73111,230.9506628,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,37,45014.8721,239.404919,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,38,41124.33076,228.8255322,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,39,38792.38548,222.2431084,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,40,48982.74836,249.7334023,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,41,49125.52052,250.0970919,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,42,49000.59488,249.7788925,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,43,68245.09221,294.775084,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,44,58590.12493,273.1286583,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,45,49946.46044,252.1781286,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,46,47370.61273,245.5893674,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,47,43646.63891,235.7384709,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,48,44705.53242,238.5809124,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,49,48578.22725,248.7000602,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,50,47323.02201,245.4659712,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,51,56656.75193,268.5844691,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,52,51070.7912,255.0006881,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,53,56478.28673,268.1611234,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,54,49167.1624,250.2030685,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
2,55,57233.78941,269.9487432,/app/data/Plaque 2 test/D21_A2.jpg,D21,A2,,,
3,1,55764.42594,266.4610146,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,2,55383.70018,265.5498394,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,3,49797.73944,251.8024049,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,4,47555.02677,246.0669434,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,5,51772.75431,256.7471872,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,6,52296.25223,258.0419663,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,7,39286.1392,223.6530035,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,8,37168.35217,217.5412968,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,9,39601.42772,224.5486669,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,10,41397.97739,229.5855873,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,11,40844.73528,228.0463377,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,12,41772.75431,230.6224679,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,13,46977.98929,244.5694864,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,14,37721.59429,219.1543418,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,15,39637.12076,224.6498377,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,16,48697.20405,249.0044295,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,17,51356.33551,255.7125676,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,18,42367.63831,232.258805,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,19,36139.20286,214.5084199,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,20,32736.46639,204.160142,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,21,48715.05057,249.0500528,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,22,37894.11065,219.6549116,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,23,49036.28792,249.8698479,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,24,36900.65437,216.7564817,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,25,35788.2213,213.4642326,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,26,45925.04462,241.8131156,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,27,36121.35634,214.4554483,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,28,30053.53956,195.6153241,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,29,35359.90482,212.1830085,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,30,48114.21773,247.5094436,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,31,96299.82153,350.1610214,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,32,32552.05235,203.5842831,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,33,31867.93575,201.4336516,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,34,33908.38786,207.7823388,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,35,40785.24688,227.8802079,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,36,29190.95776,192.7876598,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,37,26186.79358,182.5980863,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,38,28494.94349,190.4754285,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,39,56769.77989,268.8522433,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,40,39048.1856,222.9746489,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,41,24419.9881,176.3306398,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,42,30374.77692,196.6579954,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,43,49196.9066,250.2787385,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,44,27424.15229,186.8622893,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,45,30362.87924,196.6194765,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,46,50642.47472,253.9291268,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,47,56668.64961,268.6126684,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,48,38102.32005,220.2575325,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,49,31802.49851,201.2267346,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,50,39892.92088,225.3735664,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,51,42052.34979,231.3929876,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,52,40820.93992,227.9799003,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,53,43884.5925,236.3801992,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,54,78655.56217,316.4606961,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
3,55,46085.6633,242.2356063,/app/data/Plaque 2 test/D21_A3.jpg,D21,A3,,,
4,1,58905.41344,273.86256,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,2,62980.36883,283.1767931,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,3,47299.22665,245.4042498,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,4,48477.09697,248.4410531,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,5,46085.6633,242.2356063,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,6,62218.91731,281.4597413,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,7,45508.62582,240.7143162,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
4,8,45110.05354,239.6578896,/app/data/Plaque 2 test/D21_A4.jpg,D21,A4,,,
